id,name,surname,gender,date_of_birth,skills,hobbies
98,Roman,Rapajić,M,1997-04-14,criminal law:eco-engineering:fluid mechanics:physical chemistry:nanomaterials and nanotechnologies,reading:videogaming:diving:professional dancing:volleyball:handmade crafts
133,Claudia,Derikučka,F,2000-12-19,public relations:politics:classify basic film genres:Croatian dialects:critical journalism:principles of academic integrit:communicology:linguistics:presenting,diving:reading:volunteering:football:professional dancing:volleyball:basketball
139,Silvano,Šljokavica,M,1987-01-28,automatics:economics:telecommunication:robotics:organisation:oceanography:waste management:electromachines:hidraulics:philosophy of culture:ecotechnology,volleyball:translating:videogaming:horseback riding:chess:knitting:netflix:reading
120,Srećko,Đedović,M,1997-08-21,digital marketing:economics:electroenergetics:telecommunication:food management:web design:graphical design:engineering:electromachines:ontology:ecotechnology,cooking:volunteering:translating:diving
114,Albion,Simurdić,M,1996-07-15,cereal technology:biodegradation:analytical chemistry:microbiology:laboratory skills:nutrition:biophysics:beverage technology,translating:cooking:basketball:gym:chess
141,Lucia,Dolovac,F,1980-02-12,eco-engineering:thermal engineering:corrosion stability of materials:environmental protection:structure and properties of materials:stoichiometry,translating:volleyball:swimming:gardening:basketball:writing:reading:beekeeping
151,Klement,Guldović,M,1999-10-02,automatics:electroenergetics:telecommunication:construction:mechatronics:engineering:graphical design:literature:managment,beekeeping:handmade crafts:volunteering:group sports
140,Elizaveta,Dubaković,F,1997-03-18,toxicology:fruit and vegetable technology:roman private law:food quality control:critical journalism:biodegradation:orthographic norms of the Croatian language:new food and technology:microbiology:laboratory skills,volunteering:chess:swimming:videogaming:horseback riding:netflix:football
82,Anselmo,Popratnjak,M,1997-09-17,petrochemistry:inorganic chemistry:fluid mechanics:industrial biotransformations:simulink:waste management:quantum chemistry,football:videogaming:swimming:knitting:translating:beekeeping
188,Timon,Grubački,M,1989-05-24,philosophy:roman law:ethics:consumer protection:pension schemes:justice system:public administration:death penalty:constitutional law:organic photochemistry:machine learning:sociology:politics,basketball:swimming:gardening:videogaming:translating:diving:tennis:cooking
111,Alexandar,Todorinović,M,1989-06-24,automatics:electroenergetics:web design:programming:robotics:mechatronics:operating systems:managment,volleyball:diving:skiing:football:basketball
167,Anastazija,Repija,F,1988-08-05,waste composting:ethics:machine construction:electroenergetics:engineering:numerical analysis:matlab,cooking:volleyball:skiing:basketball:writing
187,Dragana,Vujin,F,1992-09-19,biotechnology:human biology:toxicology:food management:biodegradation:GMO production:bioinformatics programming:meat and fish technology:beverage technology:biochemistry,netflix:beekeeping:chess:volunteering:knitting:horseback riding
46,Emi,Rusmirović,F,1995-05-11,automatics:economics:engineering:construction:fat and oil technology,swimming:handmade crafts:beekeeping:professional dancing:knitting
4,Alina,Vesnić,F,1989-11-13,computer science:programming:robotics:artificial intelligence:electroacoustics:graphical design:engineering:operating systems:C++,gym:diving:tennis:beekeeping:translating:knitting:handmade crafts
30,Marcos,Rakijaš,M,1981-03-04,philosophy:consumer protection:roman private law:legal systems:public administration:pension schemes:constitution:reporting for magazines:kriminologija,horseback riding:writing:professional dancing:netflix:beekeeping:volleyball:volunteering
129,Jana,Balmazović,F,1985-02-13,classify basic film genres:concepts of film:comparative literature:reporting for magazines:space management:literature:public relations:presenting,reading:football:beekeeping:group sports
17,Bruna,Basić,F,1996-11-17,eco-engineering:programming:robotics:construction:ecotechnology,beekeeping:translating:chess:volunteering
142,Dujomir,Gaković,M,1997-04-15,laboratory analysis of food:biotechnology:human biology:food management:food quality control:molecular biology:new food and technology:pedagogy,knitting:chess:diving:skiing
96,Kira,Čotra,F,1992-11-04,matlab:programming:artificial intelligence:data science:operating systems:development:machine learning,horseback riding:videogaming:translating:reading:basketball:gym:handmade crafts:skiing
75,Kornelija,Borozan,F,1982-01-25,roman law:ethics:comparative literature:public speaking:stylistics:principles of academic integrit:orthographic norms of the Croatian language:journalism:literacy:film review:public relations,reading:gym:tennis:writing:basketball:football
150,Arsen,Babin,M,1994-03-22,physics:artificial intelligence:engineering:development:machine learning:C++,videogaming:reading:horseback riding:writing:group sports:chess:netflix
152,Jozo,Oraovčić,M,1991-04-07,automatics:bacteriology:web design:programming:robotics:artificial intelligence:electroacoustics:operating systems:development:java:machine learning,beekeeping:tennis:netflix:knitting:basketball:horseback riding:gardening:videogaming
32,Samira,Dražović,F,1995-05-18,electronics:web design:robotics:data science:audiotechnology:mathematics:java:machine learning,group sports:handmade crafts:gym:diving
59,Bože,Dženopoljac,M,1998-07-10,automatics:fluid mechanics:robotics:artificial intelligence:physics:construction:aerospace engineering,volleyball:football:videogaming:horseback riding:netflix
23,Maša,Olarić,F,1988-10-05,CAD:robotics:artificial intelligence:metalurgy:shipbuilding:construction:machine learning:aerospace engineering,professional dancing:knitting:volunteering:diving:football:volleyball
29,Biljana,Dutina,F,1997-10-13,cereal technology:biodegradation:analytical chemistry:new food and technology:matlab:genetic engineering:fat and oil technology:design of biological processes:bioinformatics programming,tennis:reading:cooking:horseback riding:beekeeping:translating:group sports
78,Noah,Ravnjaković,M,1988-03-11,politics:roman private law:pension schemes:justice system:public administration:insurance law:environmental protection:protection of victims:debating,gym:gardening:diving:skiing
2,Daniela,Crnilović,F,1984-07-17,aeronomy:public speaking:knowledge of special species:applied mathematics:geochemistry:organic chemistry:computing and mathematics:machine learning,handmade crafts:group sports:reading:translating:beekeeping
28,Tony,Dumanović,M,1995-10-24,automatics:digital marketing:electroenergetics:programming:organisation:graphical design:electromachines:stylistic norms of the Croatian language:ontology,football:professional dancing:knitting:tennis
135,Zvonimira,Čajić,F,1981-10-02,robotics in the food industry:cereal technology:GMO production:knowledge of food technologies:new food and technology,professional dancing:gardening:gym:tennis:diving:translating
125,Maxim,Pavitović,M,1993-03-05,inorganic chemistry:geomagnetism:zoology:analytical chemistry:statistics:oceanography:meteorology:paleontology:stratigraphy,professional dancing:netflix:volunteering:swimming:tennis:knitting
175,Mirjam,Šišljagić,F,1984-08-23,machine construction:physical chemistry:botany:experimental physics:knowledge of special species:astrophysics,volunteering:cooking:skiing:chess:netflix:horseback riding:writing:knitting:basketball
200,Tomek,Šušljik,M,1998-09-20,automatics:digital marketing:electroenergetics:telecommunication:web design:programming:robotics:organisation:graphical design:philosophy of religion:construction,videogaming:knitting:gardening:swimming:translating:group sports:handmade crafts
36,Loren,Blidarević,F,1986-12-17,laboratory analysis of food:toxicology:biotechnology:analytical chemistry:microbiology:new food and technology:design of biological processes:biochemistry,professional dancing:cooking:tennis:reading:translating:beekeeping:knitting:group sports:gym
27,Melisa,Ćirimanović,F,1992-01-05,laboratory analysis of food:biotechnology:bacteriology:biodegradation:knowledge of food technologies:analytical chemistry:microbiology:organic chemistry:genetic engineering:stratigraphy:bioinformatics programming,writing:knitting:netflix:handmade crafts:swimming:gardening:tennis:gym:basketball
18,Nikka,Ralenac,F,2000-07-15,philosophy:roman law:machine construction:legal systems:insurance law:family law:criminology:kriminologija:political economy:debating,writing:volunteering:volleyball:skiing:tennis:group sports
119,Analaura,Šljokavica,F,1989-06-09,automatics:physical chemistry:orthographic norms of the Croatian language:linguistics:grammatical norms of the Croatian language:public relations:politics,translating:volleyball:gym:netflix:basketball:swimming:horseback riding:group sports
35,Ivon,Stojčetović,M,1980-01-27,human biology:concepts of film:physical chemistry:GMO production:tectonics:applied mathematics:computing and mathematics:theoretical physics,basketball:tennis:professional dancing:skiing:chess:gym:volleyball:knitting
105,Hajdi,Blidarević,F,1986-01-10,philosophy:information sciences:psychology:sociology:experimental psychology,reading:group sports:chess:basketball
199,Orsat,Šišljagić,M,1986-01-01,automatics:electronics:knowledge of metallic materials:electroacoustics:data science:laboratory skills:recognition of environmental hazards,beekeeping:cooking:chess:netflix:handmade crafts:gym
189,Ognjen,Markešević,M,1993-01-14,epidemiology:human biology:chemistry teaching:mathematics in economics:geochemistry:medical physics:zoology,cooking:netflix:volunteering:horseback riding:videogaming
196,Sofija,Perišić,F,1982-09-21,hydrogen energy:eco-engineering:public speaking:environmental protection:space management:organic photochemistry:waste management:laboratory skills:energy management:chemochemistry,translating:swimming:beekeeping:diving:netflix:reading
160,Vladislav,Bogaroški,M,1996-01-27,consumer protection:public administration:robotics:political economy:protection of victims:debating,swimming:cooking:gym:volunteering:chess
56,Anel,Popratnjak,M,1992-07-17,comparative literature:stylistic norms of the Croatian language:literature:linguistics:reporting for magazines,tennis:basketball:football:skiing:volleyball:knitting
89,Nikolas,Škavović,M,1988-02-27,epidemiology:psychology of pain:basic computer skills:archeology:ontology:art history,cooking:diving:basketball:gym
155,Donald,Šmrčak,M,1987-04-09,epidemiology:human biology:legal systems:chemistry teaching:astrophysics:recognition of environmental hazards:politics,knitting:football:gym:horseback riding:videogaming:beekeeping
181,Dorea,Vorkapić,F,1999-09-11,psychology of pain:medical physics:literature:ontology:sociology:experimental psychology,volleyball:swimming:handmade crafts:netflix:group sports:gym
33,Deni,Svetozarević,M,1991-10-24,seismology:Croatian dialects:geomagnetism:chemistry teaching:knowledge of special species:applied mathematics:recognition of environmental hazards:biochemistry,chess:tennis:handmade crafts:writing:volleyball:basketball:reading
148,Šimun,Čikiriz,M,1996-05-26,presenting:basic computer skills:grammatical norms of the Croatian language:film review:reporting for magazines,horseback riding:reading:group sports:football:basketball:chess:gardening:skiing:cooking
53,Amalija,Dragumilo,F,1984-03-18,innovation management:electrochemistry:inorganic chemistry:fluid mechanics:statistical and numerical methods:analytical chemistry:thermodynamics:mechanical engineering:chemochemistry:artificial intelligence in chemical engineering,horseback riding:writing:netflix:group sports:gym:reading:beekeeping
112,Natan,Miolski,M,1989-08-06,philosophy:ontology:bioetics:CAD:information sciences:philosophy of culture:sociology,group sports:chess:gardening:beekeeping:cooking:swimming:football
195,Tea,Mirčić,F,1981-10-21,eco-engineering:inorganic chemistry:physical chemistry:environmental protection:knowledge of metallic materials:structure and properties of materials:hidraulics:beverage technology,knitting:netflix:volunteering:translating:diving
136,Roland,Prlja,M,1983-02-24,robotics:profesional whriting:film review:public relations:presenting:debating,beekeeping:chess:gym:translating
117,Nevija,Milačić,F,1980-04-12,laboratory analysis of food:ethics:legal systems:psychology of pain:basic computer skills:history:archeology:logic:psychology:philosophy of culture:linguistics,diving:volleyball:translating:professional dancing:reading:football:knitting:netflix:handmade crafts
182,Zvonimir,Usović,M,2000-03-20,robotics in the food industry:bacteriology:biodegradation:GMO production:statistics:laboratory skills:design of biological processes,translating:handmade crafts:gym:skiing:football:gardening:cooking
42,Ingo,Gatalica,M,1980-06-10,automatics:organisation:graphical design:hidraulics:managment:ecotechnology,horseback riding:basketball:volunteering:chess
